az_band,el_band,r_band
0.000,0.000,0.000
0.043,0.036,0.851
0.043,0.036,0.859
0.044,0.037,0.867
0.044,0.037,0.874
0.045,0.037,0.882
0.045,0.037,0.890
0.046,0.037,0.898
0.046,0.037,0.906
0.047,0.038,0.914
0.047,0.038,0.922
0.048,0.038,0.930
0.048,0.038,0.938
0.049,0.038,0.947
0.050,0.038,0.955
0.050,0.038,0.964
0.051,0.039,0.972
0.051,0.039,0.981
0.052,0.039,0.990
0.053,0.039,0.999
0.053,0.039,1.008
0.054,0.039,1.017
0.055,0.039,1.026
0.055,0.039,1.035
0.056,0.039,1.045
0.057,0.039,1.054
0.057,0.039,1.064
0.058,0.039,1.073
0.059,0.039,1.083
0.060,0.039,1.093
0.060,0.039,1.103
0.061,0.039,1.112
0.062,0.039,1.122
0.063,0.039,1.133
0.064,0.039,1.143
0.065,0.039,1.153
0.065,0.039,1.163
0.066,0.039,1.174
0.067,0.039,1.184
0.068,0.039,1.195
0.069,0.039,1.206
0.070,0.038,1.216
0.071,0.038,1.227
0.072,0.038,1.238
0.073,0.038,1.249
0.074,0.037,1.260
0.075,0.037,1.271
0.076,0.036,1.282
0.077,0.036,1.294
0.078,0.035,1.305
0.079,0.035,1.316
0.080,0.034,1.328
0.081,0.033,1.339
0.082,0.033,1.350
0.083,0.032,1.362
0.085,0.031,1.374
0.086,0.030,1.385
0.087,0.029,1.397
0.088,0.027,1.408
0.089,0.026,1.420
0.090,0.024,1.432
0.092,0.023,1.443
0.093,0.020,1.455
0.094,0.018,1.467
0.095,0.015,1.479
0.097,0.010,1.490
0.098,0.004,1.502
0.099,0.012,1.514
0.100,0.016,1.525
0.102,0.020,1.537
0.103,0.023,1.548
0.104,0.026,1.560
0.105,0.029,1.571
0.106,0.032,1.583
0.107,0.034,1.594
0.109,0.037,1.605
0.110,0.039,1.616
0.111,0.042,1.627
0.112,0.044,1.638
0.113,0.046,1.649
0.114,0.049,1.660
0.114,0.051,1.670
0.115,0.053,1.680
0.116,0.055,1.691
0.117,0.058,1.701
0.117,0.060,1.711
0.118,0.062,1.720
0.118,0.064,1.730
15.853,0.066,1.739
15.854,0.068,1.748
0.118,0.070,1.757
0.118,0.072,1.766
0.118,0.074,1.774
0.117,0.076,1.783
0.116,0.078,1.790
0.115,0.080,1.798
0.114,0.081,1.805
0.113,0.083,1.813
0.111,0.085,1.819
0.109,0.086,1.826
0.107,0.088,1.832
0.104,0.089,1.838
0.101,0.091,1.843
0.098,0.092,1.849
0.094,0.093,1.853
0.090,0.094,1.858
0.086,0.095,1.862
0.081,0.096,1.866
0.075,0.097,1.869
0.069,0.097,1.872
0.062,0.098,1.875
0.054,0.098,1.877
0.044,0.099,1.879
0.030,0.099,1.881
0.009,0.099,1.882
0.033,0.099,1.883
0.045,0.099,1.883
0.055,0.099,1.883
0.063,0.098,1.883
0.070,0.098,1.882
0.076,0.097,1.881
0.082,0.096,1.880
0.087,0.095,1.878
0.091,0.095,1.875
0.095,0.093,1.873
0.099,0.092,1.870
0.102,0.091,1.866
0.105,0.090,1.862
0.107,0.088,1.858
0.109,0.087,1.854
0.111,0.085,1.849
0.113,0.084,1.844
0.114,0.082,1.838
0.115,0.080,1.833
0.116,0.079,1.826
0.117,0.077,1.820
0.118,0.075,1.813
0.118,0.073,1.806
0.118,0.071,1.799
0.118,0.069,1.791
0.118,0.067,1.783
0.118,0.065,1.775
0.118,0.063,1.767
0.117,0.060,1.758
0.117,0.058,1.750
0.116,0.056,1.740
0.115,0.054,1.731
0.114,0.051,1.722
0.114,0.049,1.712
0.113,0.047,1.702
0.112,0.044,1.692
0.111,0.042,1.682
0.110,0.039,1.672
0.108,0.037,1.661
0.107,0.034,1.651
0.106,0.032,1.640
0.105,0.029,1.629
0.104,0.026,1.618
0.103,0.022,1.607
0.101,0.019,1.596
0.100,0.014,1.585
0.099,0.008,1.574
0.098,0.008,1.562
0.096,0.014,1.551
0.095,0.017,1.539
0.094,0.020,1.528
0.093,0.023,1.516
0.092,0.025,1.505
0.090,0.027,1.493
0.089,0.028,1.482
0.088,0.030,1.470
0.087,0.031,1.458
0.086,0.032,1.447
0.084,0.033,1.435
0.083,0.034,1.424
0.082,0.035,1.412
0.081,0.036,1.400
0.080,0.036,1.389
0.079,0.037,1.377
0.078,0.037,1.366
0.077,0.038,1.354
0.076,0.038,1.343
0.075,0.039,1.332
0.074,0.039,1.320
0.073,0.040,1.309
0.072,0.040,1.298
0.071,0.040,1.287
0.070,0.040,1.276
0.069,0.041,1.265
0.068,0.041,1.254
0.067,0.041,1.243
0.066,0.041,1.232
0.065,0.041,1.222
0.064,0.041,1.211
0.064,0.041,1.200
0.063,0.042,1.190
0.062,0.042,1.179
0.061,0.042,1.169
0.060,0.042,1.159
0.060,0.042,1.149
